listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail,is_speculative
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.168,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.092,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.282,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.246,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2017,0.711639,0.192038,9363676360,0.368942,1.710453,0.303422,-371.442553,0.022477,1431954194,2.92358,0.024041,0.037809,0.065162,0.113434,0.23592,0.086787,5.53513,-0.053044,339369000,0.017635,1.307037,1,0,6.282,0.669657,0.086813,0.009609,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2017,0.808419,0.232051,11578947868,0.367353,1.722177,0.288196,-457.571946,0.054411,1926158454,6.211116,0.056033,0.064305,0.152532,0.100291,0.22016,0.067971,6.128405,-0.012658,498511000,0.014642,1.475512,1,0,6.246,0.675939,0.236581,0.031934,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1996,2.76183,0.825654,425894166,0.922028,0.084566,0.0,-34.409043,0.128245,115127430,1000000.0,0.084262,0.073817,0.091388,0.84736,,0.136542,1000000.0,-0.004015,5674176,0.002661,6.205837,1,0,6.229,,0.052418,-0.020417,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1996,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.168,,-1.0,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1996,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.092,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1996,2.02568,0.505865,575946070,0.88018,0.136131,0.0,-44.71112,0.170388,174293990,128.762562,0.113538,0.085638,0.128994,0.834275,,0.198872,150.30097,-0.014317,8257881,0.000349,4.195038,1,0,6.282,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1996,1.870146,0.719494,642564454,0.875591,0.142086,0.0,-49.732509,0.184437,214376403,184.742179,0.133097,0.119445,0.152009,0.880791,,0.203281,169.481549,-0.010158,9769443,7.2e-05,4.332884,1,0,6.246,,0.115668,0.014049,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,1.66708,0.150168,833278628,0.516876,0.934701,0.252012,-7.614031,0.026378,60345993,2.750373,0.032025,0.032646,0.061959,0.168731,0.323468,0.10004,6.86774,-0.060024,21942237,0.003614,1.686643,1,0,5.726,0.436582,0.089014,-0.001577,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,1.321408,0.057408,792329474,0.570652,0.75238,0.144935,-8.042896,0.037768,76528788,4.663827,0.052236,0.046346,0.091538,0.127425,0.377477,0.058888,5.505411,-0.019622,21660827,0.003231,2.163864,1,0,5.913,0.622651,-0.049142,0.01139,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,1.753634,0.184432,835966016,0.615369,0.625042,0.158686,-8.483496,0.040303,105298188,8.607463,0.056662,0.060459,0.092079,0.131262,0.318161,0.055907,7.187902,-0.014091,22289581,0.004555,2.347871,1,0,6.043,0.636654,0.055074,0.002535,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,1.812354,0.230596,827026979,0.634789,0.575328,0.124784,-8.678169,0.029068,90460038,9.284659,0.039589,0.046405,0.062366,0.231374,0.677172,0.089097,16.906856,-0.056932,22487747,0.003761,2.59689,1,0,6.229,0.747771,-0.010693,-0.011235,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,1.907061,0.151425,781595349,0.666713,0.499896,0.135006,-8.606502,0.002691,64709049,3.447045,0.016668,0.018906,0.025,-0.035704,-0.088141,-0.012273,-2.169574,0.014508,22405074,0.003882,2.909077,1,0,6.168,0.79331,-0.054934,-0.026377,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,2.203708,0.208241,752912818,0.703709,0.421041,0.091486,-8.767478,0.026842,84124754,9.756973,0.042156,0.043729,0.059905,0.206222,0.667879,0.068285,13.633215,-0.037083,23443364,0.003463,3.02,1,0,6.092,0.877083,-0.036697,0.024152,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,2.259563,0.36719,741703202,0.715016,0.39857,0.081085,-8.776654,0.014066,63165123,9.30838,0.015764,0.024893,0.022047,0.476333,1.674145,0.174119,50.760297,-0.124781,23315014,0.003406,2.735675,1,0,6.282,0.971594,-0.014888,-0.012776,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1999,2.196826,0.183028,809138974,0.688826,0.451746,0.094737,-9.274882,0.051186,98490733,22.395741,0.05406,0.043169,0.078482,-0.214316,-0.703942,-0.074007,-34.597781,0.112814,22413375,0.003323,2.895885,1,0,6.246,1.0,0.09092,0.037119,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1993,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.168,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1993,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.092,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1993,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.282,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1993,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.246,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2018,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.092,,,,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.168,,,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2017,3.351442,1.268259,444525540,0.645643,0.548844,0.127001,-50.946556,0.092211,45499161,286.360947,0.097909,0.064356,0.151645,0.030402,0.084827,0.014379,47.936898,0.058313,1314465,0.002274,2.114284,1,0,6.168,0.638948,0.034563,0.010799,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2017,2.509354,0.660289,520491026,0.570919,0.751563,0.135536,-48.66384,-0.047989,38917022,1.170454,-0.022002,0.00644,-0.038538,0.130696,0.413758,0.138918,10.192215,-0.075452,3348777,0.006539,0.940812,1,0,6.282,0.727215,0.003514,-0.085242,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2017,3.134292,0.941272,541735510,0.637909,0.567621,0.073204,-50.400542,0.102174,51908842,16.515482,0.089352,0.042592,0.140069,0.110007,0.544133,0.072982,15.445572,0.015932,2750756,0.002604,1.507311,1,0,6.246,0.770908,0.040816,0.150163,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1992,4.128343,0.816688,118036456,0.781283,0.279946,0.093576,-51.546936,0.018603,9970322,4.75462,0.037497,0.038986,0.047994,0.520699,1.217039,0.087941,13.889086,-0.089795,1370550,0.008377,5.921027,1,0,6.168,0.864197,-0.04395,-0.003391,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1992,4.517629,1.227271,120889634,0.772639,0.294266,0.097043,-52.221663,0.015347,7905795,4.639832,0.021694,0.019382,0.028078,0.384258,0.900271,0.097145,20.913848,-0.073563,1195523,0.011546,3.955509,1,0,6.092,0.474409,0.024172,-0.003255,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1992,6.222519,0.907187,143037701,0.640017,0.562458,0.243789,-51.163295,-0.015112,6416717,4.994156,-0.009456,0.010187,-0.014775,0.084137,0.124238,0.049915,14.849283,-0.039458,1068828,0.009711,1.685593,1,0,6.282,0.174072,0.183209,-0.030459,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1992,1.73501,0.516324,161472982,0.700163,0.428239,0.110614,-63.420161,0.199193,8996566,0.61048,0.18746,0.003106,0.267737,-0.14744,-0.39966,-0.062657,-8.689394,0.184749,3363890,0.012613,2.35312,1,0,6.246,0.999779,0.128884,0.214305,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2011,2.235694,0.233042,79092863,0.642786,0.555728,0.008999,-12.927924,0.069325,11467423,67.864603,0.10036,0.095343,0.156133,0.022103,0.877356,0.006791,5.6199,0.072707,925277,0.057376,3.254844,1,0,5.726,0.0,0.027174,0.003431,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2011,2.452109,1.159305,85673251,0.671316,0.489612,0.0,-6.503556,0.041297,6901501,31.520787,0.04453,0.027513,0.066333,0.867273,,0.333185,326.579292,-0.249727,952260,0.052541,2.602979,1,0,5.913,,0.083198,-0.028028,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
