market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSDAQ,000250,삼천당제약(주),2025,2026,other,manufacturing,2000,2.268503381019123,0.9002749421819706,561231384,0.647849062553494,0.5435694200749493,0.07349179531984262,-30.000205478237383,0.051896346380861956,109375936,8.63957227218412,0.02230379012446674,0.015085601485179952,0.034427448326553804,0.04955266255035294,0.2374416978443095,0.04224880936490152,9.993680412339573,0.0039847201417374765,9085019,0.22452649939476657,1.1728771365452761,1,0,5.803,0.285702977231532,0.0797641199790883,0.07597161375051709,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,000440,(주)중앙에너비스,2025,2026,other,wholesale_retail,1993,8.014451169150734,0.015523847384961256,54994658,0.9456784148016704,0.05744192142708688,0.0,-15.703444765084397,-0.022492167639632982,8864469,-88.99561134925494,-0.02720911547445208,-0.03171140731523415,-0.028772059347636093,0.17188776717657547,,0.010354363265448507,26.204174321290058,-0.02961989508144591,1354950,0.035931435376868784,16.600515431996484,1,0,5.803,,-0.05953018559204281,-0.003548474336650953,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
KOSDAQ,0007C0,(주)아크릴,2025,2026,other,it_services,2025,7.788577311571002,6.860140895093366,50936357,0.8588722982289448,0.16431744516858962,0.10100840152349333,-9.895656513983745,-0.2109342534040664,13312020,-2.935235644100822,-0.05512685172989502,-0.044243054131256385,-0.064185155166339,-0.6554489366464442,-0.9157852283770651,-0.35394440513160286,-6.136899427952194,0.037375150327299614,1090230,0.0004726486426973959,1.8518414958494303,0,0,5.803,0.9154518950437318,,,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,0008Z0,에스엔시스(주),2025,2026,other,manufacturing,2025,2.89039710749207,1.2732368289240117,232525687,0.7425931484292314,0.34663240849346366,0.023868330727692892,-34.13758934118437,0.12491769103676682,38509670,64.22713118790372,0.08436579740112755,0.07628622122939906,0.113609716948752,0.3006556068667762,3.2424057657657657,0.12459968589999511,65.15711264953799,0.00019751796282188814,955796,0.024491139338080958,2.4129724300275144,1,0,5.803,0.5405405405405406,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0009K0,(주)에임드바이오,2025,2026,other,it_services,2025,31.433426453695365,18.73581730989325,198968699,0.967850480843723,0.033217444008759096,0.0,-5.003225411146009,0.10613916690372019,47278353,364.15014114635386,-0.02093020168966376,0.10438111675042917,-0.0216254494923822,2.7920718465070062,,0.377766543601889,313.15519085441764,-0.06454329281210207,1087691,0.008138455988999557,7.39099820721404,0,0,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,001000,신라섬유(주),2025,2026,other,other,1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
KOSDAQ,0010V0,제이피아이헬스케어(주),2025,2026,other,manufacturing,2025,7.517923652066852,0.9354520232010345,82378185,0.7653785890038728,0.3065429505958391,0.13327388798381512,-23.497998601235576,0.09990889249258417,20321361,11.94191241521675,0.06844284078363708,0.05898895441796879,0.08942351114461441,0.16644434310449788,0.2930161881091308,0.06637484286446362,7.905691536419935,0.019729640802355623,1427954,0.009196864436865173,2.507641990872575,1,0,5.803,0.0,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0013V0,삼진식품(주),2025,2026,other,manufacturing,2025,1.537209593035403,0.6991617567589581,83070754,0.5020643366256192,0.9917766052076369,0.19345263195757198,-7.368019722002746,0.0474331443120172,45954576,4.21834650030527,0.05848215847420862,0.07169478683195774,0.11648339507097429,0.19918713643259528,0.5126959396290887,0.07524512402914817,5.835649417154319,-0.036659628730467526,4226343,0.003225599709856973,2.6471766643036556,0,0,5.803,0.43638551868744346,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,001540,안국약품(주),2025,2026,other,manufacturing,2000,1.6493008521048313,0.4696958611477371,310952617,0.5347742772012111,0.8699478315105008,0.23310030543978344,-24.499786235989948,0.02385169903531452,200302298,3.5655627288022695,0.024816124959642968,0.03158853298861286,0.04640485905477798,0.3157867301056255,0.6302527552955411,0.1488647434810879,16.582737260126287,-0.12337326943931139,8207005,0.01789552071851513,2.1212996625070173,1,0,5.803,0.30857654503150045,0.0278225300365674,-0.03642945738236641,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0015G0,(주)그린광학,2025,2026,other,manufacturing,2025,2.4978461246722916,0.10986214109212093,99906203,0.6562437969942667,0.5238239272968496,0.15288175850302307,-10.204886254627413,0.04904063423977257,11067217,2.3252818953503103,0.010621893016993149,0.022044817377355436,0.01618589473248148,-0.23507734839238437,-0.5285738304378809,-0.19336482043802214,-8.523744668271464,0.10130392003787793,4567106,0.03987718360190308,1.2157193219525266,0,0,5.803,0.46732104495556975,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0015N0,(주)아로마티카,2025,2026,other,manufacturing,2025,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.803,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,0015S0,(주)페스카로,2025,2026,other,it_services,2025,13.99180647818626,1.8618847367233768,65755978,0.927570585293401,0.07808505427750921,0.0,-11.624446921315197,0.1541461266615656,16627917,27.714672885415354,0.027202500128581466,0.013374327730324383,0.02932660927359723,0.8039217950618414,,0.23026401923945133,120.66087860834489,-0.019248166303602085,413757,0.00526177254940988,3.491304450070612,0,0,5.803,,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KOSDAQ,001810,무림에스피(주),2025,2026,other,manufacturing,2000,1.6723702563252376,0.6403677633657038,343812153,0.5838497745017175,0.7127693570867746,0.2638865880927717,-17.135258994918125,-0.00812323208201106,18456997,0.45822229440075063,-0.004859322119424906,0.005170172096854296,-0.008322897998157249,-0.004686984130125947,-0.007391393137439294,-0.003260563281874641,-0.1728680911614814,-0.002908879140173966,2116488,0.00289864099132063,1.437476817634772,1,0,5.803,0.55911893269395,0.059086748448027616,-0.026984972303462113,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,001840,이화공영(주),2025,2026,other,construction,1994,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.803,,,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
KOSDAQ,002230,피에스텍(주),2025,2026,other,manufacturing,1991,5.006395019134936,1.6348034843976287,174884643,0.780392427024024,0.28140659157013503,0.12965689617469728,-12.877366206855738,0.09400047560829823,16832163,7.008257563793064,0.06427127509417736,0.030195098376934102,0.08235763555429633,0.497988126436104,0.8434720176405733,0.19684819187280006,25.382822090774805,-0.05713859049362041,1639927,0.014956133112271041,2.5298079789216223,1,0,5.803,0.46306504961411243,0.019725211526285726,0.024065688097156784,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,002290,(주)삼일기업공사,2025,2026,other,construction,1992,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.803,,,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
KOSDAQ,002680,(주)한탑,2025,2026,other,manufacturing,1995,0.47890446850986074,0.09295158738050702,138322419,0.34212143152296953,1.9229387809715788,0.4978780048662972,-1.9286973957817606,0.02533090348647603,15127142,0.7319891573296307,0.015685114645081502,0.02113702913191534,0.045846629880093984,0.02687147617694653,0.03550702804174207,0.02967591898932261,0.6122065415041088,-0.0025883584352295055,859766,0.016849177572581347,0.9054976928133172,0,0,5.803,0.9742561860286006,-0.004143423820017709,0.08847188130566877,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KOSDAQ,002800,신신제약(주),2025,2026,other,manufacturing,2017,0.9843895757284868,0.06421900771619171,137497264,0.5419753152324543,0.8451024832581127,0.15696770519011927,-8.82434633004845,0.08158404329178755,43105657,6.594855110906837,0.07133861223594966,0.0784754451550396,0.1316270505887383,0.13629564416079162,0.39770454295885166,0.07544069009883031,5.246169661913226,0.005083592063330074,4134824,0.0040973833486606685,1.8066595623958224,1,0,5.803,0.9439794872080002,0.06188542737213282,0.03635855804402871,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
